## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
SKU:DOVE61,Sesitive Skin Beauty Bar,,,/content/we-cpg/us/en/category-page/personal_care/DOVE/_jcr_content/root/responsivegrid/responsivegrid/teaser.coreimg.png/1677744370283/dove1.png,,http://localhost:4502/editor.html/content/we-cpg/us/en/category-page/personal_care/DOVE.html,,,,,,,,,,,,,
SKU:LUX52,VELVET GLOW,,,/content/we-cpg/us/en/category-page/personal_care/LUX/_jcr_content/root/responsivegrid/responsivegrid/teaser.coreimg.png/1677743897584/1.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LUX.html,,,,,,,,,,,,,
SKU:LIFE12,Lifebuoy  Germ Protection Handwash,,,/content/we-cpg/us/en/category-page/personal_care/LifeBuoy/_jcr_content/root/responsivegrid/responsivegrid_copy_/teaser.coreimg.png/1677744083944/l3.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LifeBuoy.html,,,,,,,,,,,,,
SKU:LIFE14,Lifebuoy Care Soap Bar,,,/content/we-cpg/us/en/category-page/personal_care/LifeBuoy/_jcr_content/root/responsivegrid/responsivegrid_copy__1106087122/teaser.coreimg.png/1677050707251/l2.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LifeBuoy.html,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
